STATE,INST,INST_TYPE,DISCRIMINATION_TYPE,INVEST_START_DATES
AL        ,ALABAMA A & M UNIVERSITY        ,PSE        ,Title IX - Retaliation        ,08/24/2016        
AL        ,ALABAMA A & M UNIVERSITY        ,PSE        ,Title IX - Sexual Violence        ,08/24/2016        
AL        ,ALABAMA COLLEGE OF OSTEOPATHIC        ,PSE        ,Title IX - Sexual Harassment        ,07/13/2020        
AL        ,ALABAMA STATE UNIVERSITY        ,PSE        ,Age - Discrimination Prohibited        ,03/28/2024        
AL        ,ALABAMA STATE UNIVERSITY        ,PSE        ,Disability - Denial of Benefits        ,01/29/2022        
AL        ,FAULKNER UNIVERSITY        ,PSE        ,Title IX - Sexual Harassment        ,09/26/2024        
AL        ,FORTIS COLLEGE - BIRMINGHAM        ,PSE        ,Age - Discrimination Prohibited        ,06/13/2017        
AL        ,FORTIS COLLEGE - BIRMINGHAM        ,PSE        ,Title VI - Denial of Benefits        ,06/13/2017        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Age - Discrimination Prohibited        ,12/19/2023        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Disability - Academic Adjustments        ,12/12/2014        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Title VI - Denial of Benefits        ,12/19/2023        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Title VI - Retaliation        ,09/20/2022        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Title VI - Retaliation        ,12/19/2023        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Title IX - Denial of Benefits        ,12/19/2023        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Title IX - Sexual Harassment        ,05/26/2015        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Title IX - Single Sex Campus Programs        ,07/06/2023        
AL        ,GEORGIA STATE UNIVERSITY        ,PSE        ,Title IX - Single Sex Scholarships        ,05/15/2020        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Procedural Requirements        ,08/04/2020        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Retaliation        ,09/29/2016        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Retaliation        ,01/13/2017        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Retaliation        ,10/13/2017        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Sexual Violence        ,03/12/2014        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Sexual Violence        ,01/13/2017        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Sexual Violence        ,10/30/2020        
AL        ,WALLACE STATE COMMUNITY COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,12/12/2017        
AL        ,WALLACE STATE COMMUNITY COLLEGE        ,PSE        ,Disability - Disability Harassment        ,12/12/2017        
AL        ,WALLACE STATE COMMUNITY COLLEGE        ,PSE        ,Disability - Retaliation        ,12/12/2017        
AL        ,WALLACE STATE COMMUNITY COLLEGE        ,PSE        ,Disability - Service Animal        ,12/12/2017        
AL        ,WALLACE STATE COMMUNITY COLLEGE        ,PSE        ,Disability - Treatment of Postsecondary Students        ,12/12/2017        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Sexual Harassment        ,04/20/2020        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Sexual Violence        ,09/03/2014        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Sexual Violence        ,10/23/2017        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Sexual Violence        ,07/27/2020        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Single Sex Campus Programs        ,07/12/2023        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Single Sex Scholarships        ,05/15/2020        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Disability - Academic Adjustments        ,01/13/2017        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title VI - Racial Harassment        ,01/13/2017        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title VI - Racial Harassment        ,05/02/2024        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Gender Harassment        ,05/02/2024        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Others        ,09/11/2020        
AL        ,VANDERBILT UNIVERSITY        ,PSE        ,Title IX - Procedural Requirements        ,03/12/2014        
AL        ,COASTAL ALABAMA COMMUNITY COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,07/28/2023        
AL        ,COASTAL ALABAMA COMMUNITY COLLEGE        ,PSE        ,Title VI - Racial Harassment        ,07/28/2023        
AL        ,COASTAL ALABAMA COMMUNITY COLLEGE        ,PSE        ,Title IX - Sexual Harassment        ,07/28/2023        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Single Sex Scholarships        ,01/31/2022        
AL        ,UNIVERSITY OF ALABAMA IN HUNTSVILLE        ,PSE        ,Title IX - Denial of Benefits        ,03/15/2023        
AL        ,UNIVERSITY OF ALABAMA IN HUNTSVILLE        ,PSE        ,Title IX - Single Sex Scholarships        ,04/11/2023        
AL        ,UNIVERSITY OF NORTH ALABAMA        ,PSE        ,Disability - Accessibility        ,01/31/2018        
AL        ,UNIVERSITY OF NORTH ALABAMA        ,PSE        ,Disability - Denial of Benefits        ,06/25/2024        
AL        ,UNIVERSITY OF NORTH ALABAMA        ,PSE        ,Disability - Retaliation        ,06/25/2024        
AL        ,UNIVERSITY OF SOUTH ALABAMA        ,PSE        ,Title VI - Denial of Benefits        ,07/25/2024        
AL        ,UNIVERSITY OF SOUTH ALABAMA        ,PSE        ,Title IX - Denial of Benefits        ,07/25/2024        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Disability - Academic Adjustments        ,08/18/2020        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Disability - Denial of Benefits        ,08/18/2020        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Disability - Retaliation        ,08/18/2020        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title VI - Denial of Benefits        ,07/12/2023        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Denial of Benefits        ,05/15/2020        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Retaliation        ,09/03/2014        
AL        ,UNIVERSITY OF SOUTH FLORIDA        ,PSE        ,Title IX - Retaliation        ,07/27/2020        
AL        ,TRENHOLM STATE TECHNICAL COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,06/07/2016        
AL        ,TRENHOLM STATE TECHNICAL COLLEGE        ,PSE        ,Disability - Disability Harassment        ,06/07/2016        
AL        ,TROY UNIVERSITY        ,PSE        ,Title IX - Single Sex Scholarships        ,07/16/2020        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title VI - Denial of Benefits        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title VI - Denial of Benefits        ,01/17/2020        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title VI - Discipline        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title VI - Racial Harassment        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title VI - Retaliation        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title VI - Retaliation        ,01/17/2020        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Admissions        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Admissions        ,03/21/2023        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Denial of Benefits        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Gender Harassment        ,03/21/2023        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Others        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Procedural Requirements        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Retaliation        ,01/08/2016        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Retaliation        ,01/17/2020        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Retaliation        ,03/21/2023        
AL        ,TUSKEGEE UNIVERSITY        ,PSE        ,Title IX - Sexual Harassment        ,01/17/2020        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Disability - Academic Adjustments        ,02/25/2022        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Disability - Academic Adjustments        ,04/10/2024        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Disability - Accessibility - Website/Online Courses        ,09/17/2024        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Disability - Effective Communication        ,09/17/2024        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Disability - Procedural Requirements        ,06/06/2014        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Disability - Procedural Requirements        ,09/17/2024        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title VI - Denial of Benefits        ,04/25/2022        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title VI - Racial Harassment        ,06/06/2014        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Procedural Requirements        ,06/06/2014        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Procedural Requirements        ,03/03/2016        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Retaliation        ,12/09/2015        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Retaliation        ,03/03/2016        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Retaliation        ,10/02/2017        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Retaliation        ,03/01/2023        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Retaliation        ,03/01/2023        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Sexual Harassment        ,12/09/2015        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Sexual Violence        ,05/23/2016        
AL        ,UNIVERSITY OF ALABAMA        ,PSE        ,Title IX - Sexual Violence        ,10/02/2017        
AK        ,UNIVERSITY OF ALASKA - FAIRBANKS        ,PSE        ,Age - Discrimination Prohibited        ,08/12/2024        
AK        ,UNIVERSITY OF ALASKA - FAIRBANKS        ,PSE        ,Disability - Academic Adjustments        ,08/12/2024        
AK        ,UNIVERSITY OF ALASKA - FAIRBANKS        ,PSE        ,Disability - Disability Harassment        ,08/12/2024        
AK        ,UNIVERSITY OF ALASKA - FAIRBANKS        ,PSE        ,Disability - Retaliation        ,08/12/2024        
AK        ,UNIVERSITY OF ALASKA - FAIRBANKS        ,PSE        ,Title IX - Others        ,07/21/2022        
AK        ,UNIVERSITY OF ALASKA ANCHORAGE        ,PSE        ,Title IX - Procedural Requirements        ,11/02/2021        
AZ        ,PHOENIX COLLEGE        ,PSE        ,Disability - Denial of Benefits        ,10/10/2024        
AZ        ,PHOENIX COLLEGE        ,PSE        ,Disability - Retaliation        ,10/10/2024        
AZ        ,PIMA COMMUNITY COLLEGE        ,PSE        ,Title IX - Single Sex Scholarships        ,06/11/2020        
AZ        ,PRESCOTT COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,07/02/2024        
AZ        ,PRESCOTT COLLEGE        ,PSE        ,Disability - Retaliation        ,07/02/2024        
AZ        ,GRAND CANYON UNIVERSITY        ,PSE        ,Disability - Academic Adjustments        ,06/05/2024        
AZ        ,NORTHERN ARIZONA UNIVERSITY        ,PSE        ,Disability - Academic Adjustments        ,10/10/2024        
AZ        ,NORTHERN ARIZONA UNIVERSITY        ,PSE        ,Disability - Others        ,09/19/2024        
AZ        ,NORTHERN ARIZONA UNIVERSITY        ,PSE        ,Disability - Retaliation        ,09/19/2024        
AZ        ,NORTHERN ARIZONA UNIVERSITY        ,PSE        ,Title IX - Single Sex Scholarships        ,02/01/2022        
AZ        ,GATEWAY COMMUNITY COLLEGE        ,PSE        ,Title IX - Retaliation        ,06/14/2022        
AZ        ,GATEWAY COMMUNITY COLLEGE        ,PSE        ,Title IX - Sexual Harassment        ,06/14/2022        
AZ        ,GATEWAY COMMUNITY COLLEGE        ,PSE        ,Title IX - Sexual Violence        ,06/14/2022        
AZ        ,ARIZONA COLLEGE OF NURSING        ,PSE        ,Title VI - Denial of Benefits        ,05/02/2024        
AZ        ,ARIZONA COLLEGE OF NURSING        ,PSE        ,Title VI - Retaliation        ,05/02/2024        
AZ        ,ARIZONA COLLEGE OF NURSING        ,PSE        ,Title IX - Denial of Benefits        ,05/02/2024        
AZ        ,ARIZONA STATE UNIVERSITY-MAIN CAMPUS        ,PSE        ,Disability - Procedural Requirements        ,07/16/2024        
AZ        ,ARIZONA STATE UNIVERSITY-MAIN CAMPUS        ,PSE        ,Disability - Retaliation        ,07/16/2024        
AZ        ,ARIZONA STATE UNIVERSITY-MAIN CAMPUS        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,01/23/2024        
AZ        ,ARIZONA STATE UNIVERSITY-MAIN CAMPUS        ,PSE        ,Title IX - Denial of Benefits        ,11/19/2021        
AZ        ,TRIDENT UNIVERSITY INTERNATIONAL        ,PSE        ,Disability - Retaliation        ,09/05/2024        
AZ        ,UNIVERSITY OF ARIZONA        ,PSE        ,Age - Discrimination Prohibited        ,07/11/2022        
AZ        ,UNIVERSITY OF ARIZONA        ,PSE        ,Disability - Denial of Benefits        ,07/11/2022        
AZ        ,UNIVERSITY OF ARIZONA        ,PSE        ,Disability - Retaliation        ,06/14/2024        
AZ        ,UNIVERSITY OF ARIZONA        ,PSE        ,Title IX - Athletics        ,04/26/2024        
AZ        ,UNIVERSITY OF ARIZONA        ,PSE        ,Title IX - Others        ,04/26/2024        
AR        ,UNIVERSITY OF ARKANSAS - FAYETTEVILLE        ,PSE        ,Title IX - Athletics        ,07/12/2024        
AR        ,UNIVERSITY OF ARKANSAS - FAYETTEVILLE        ,PSE        ,Title IX - Procedural Requirements        ,04/21/2016        
AR        ,HARDING UNIVERSITY        ,PSE        ,Title IX - Single Sex Campus Programs        ,02/08/2024        
AR        ,HARDING UNIVERSITY        ,PSE        ,Title IX - Single Sex Scholarships        ,02/08/2024        
AR        ,UNIVERSITY OF ARKANSAS - FAYETTEVILLE        ,PSE        ,Title IX - Retaliation        ,02/24/2023        
AR        ,UNIVERSITY OF ARKANSAS - FAYETTEVILLE        ,PSE        ,Title IX - Sexual Harassment        ,04/21/2016        
AR        ,UNIVERSITY OF ARKANSAS - FAYETTEVILLE        ,PSE        ,Title IX - Sexual Harassment        ,02/24/2023        
AR        ,UNIVERSITY OF ARKANSAS - FAYETTEVILLE        ,PSE        ,Title IX - Single Sex Campus Programs        ,03/27/2023        
AR        ,UNIVERSITY OF ARKANSAS - LITTLE ROCK        ,PSE        ,Disability - Academic Adjustments        ,07/18/2023        
AR        ,UNIVERSITY OF ARKANSAS - LITTLE ROCK        ,PSE        ,Disability - Academic Adjustments        ,11/13/2023        
AR        ,UNIVERSITY OF ARKANSAS - LITTLE ROCK        ,PSE        ,Disability - Denial of Benefits        ,07/18/2023        
AR        ,UNIVERSITY OF ARKANSAS - LITTLE ROCK        ,PSE        ,Title IX - Athletics        ,07/09/2020        
AR        ,UNIVERSITY OF ARKANSAS - MONTICELLO        ,PSE        ,Title IX - Denial of Benefits        ,01/20/2022        
AR        ,UNIVERSITY OF ARKANSAS - MONTICELLO        ,PSE        ,Title IX - Procedural Requirements        ,01/20/2022        
AR        ,UNIVERSITY OF CENTRAL ARKANSAS        ,PSE        ,Disability - Academic Adjustments        ,11/28/2023        
AR        ,LYON COLLEGE        ,PSE        ,Title IX - Sexual Harassment        ,06/26/2024        
AR        ,NORTH ARKANSAS COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,11/03/2020        
AR        ,NORTHWEST ARKANSAS COMMUNITY COLLEGE        ,PSE        ,Title IX - Others        ,02/08/2024        
AR        ,UNIVERSITY OF CENTRAL ARKANSAS        ,PSE        ,Title IX - Single Sex Scholarships        ,06/18/2020        
AR        ,ARKANSAS STATE UNIVERSITY        ,PSE        ,Title IX - Athletics        ,07/23/2024        
CA        ,CINTA AVEDA INSTITUTE        ,PSE        ,Disability - Academic Adjustments        ,10/07/2024        
CA        ,CITY COLLEGE OF SAN FRANCISCO        ,PSE        ,Disability - Academic Adjustments        ,06/29/2023        
CA        ,CITY COLLEGE OF SAN FRANCISCO        ,PSE        ,Disability - Denial of Benefits        ,06/29/2023        
CA        ,CITY COLLEGE OF SAN FRANCISCO        ,PSE        ,Title IX - Sexual Harassment        ,02/29/2024        
CA        ,EAST LOS ANGELES COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,03/05/2024        
CA        ,DESIGNS SCHOOL OF COSMETOLOGY        ,PSE        ,Title IX - Retaliation        ,10/18/2022        
CA        ,FOOTHILL COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,03/19/2024        
CA        ,FOOTHILL COLLEGE        ,PSE        ,Disability - Accessibility - Website/Online Courses        ,05/23/2022        
CA        ,FOOTHILL COLLEGE        ,PSE        ,Disability - Denial of Benefits        ,03/19/2024        
CA        ,FOOTHILL COLLEGE        ,PSE        ,Disability - Effective Communication        ,05/23/2022        
CA        ,FOOTHILL COLLEGE        ,PSE        ,Disability - Retaliation        ,03/19/2024        
CA        ,MTI COLLEGE OF BUSINESS AND TECHNOLOGY        ,PSE        ,Title VI - Denial of Benefits        ,06/15/2022        
CA        ,PACIFIC COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,12/20/2023        
CA        ,PEPPERDINE UNIVERSITY        ,PSE        ,Title VI - Others        ,07/19/2023        
CA        ,PEPPERDINE UNIVERSITY        ,PSE        ,Title IX - Others        ,07/19/2023        
CA        ,PITZER COLLEGE        ,PSE        ,Age - Discrimination Prohibited        ,08/05/2022        
CA        ,PITZER COLLEGE        ,PSE        ,Title IX - Sexual Harassment        ,08/05/2022        
CA        ,PASADENA CITY COLLEGE        ,PSE        ,Title IX - Denial of Benefits        ,04/15/2024        
CA        ,PASADENA CITY COLLEGE        ,PSE        ,Title IX - Procedural Requirements        ,04/15/2024        
CA        ,POMONA COLLEGE        ,PSE        ,Title VI - Denial of Benefits        ,08/06/2024        
CA        ,POMONA COLLEGE        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,08/06/2024        
CA        ,PORTERVILLE COLLEGE        ,PSE        ,Disability - Academic Adjustments        ,12/15/2023        
CA        ,PORTERVILLE COLLEGE        ,PSE        ,Disability - Denial of Benefits        ,12/15/2023        
CA        ,PORTERVILLE COLLEGE        ,PSE        ,Disability - Retaliation        ,12/15/2023        
CA        ,STANBRIDGE UNIVERSITY        ,PSE        ,Disability - Academic Adjustments        ,09/27/2024        
CA        ,STANFORD UNIVERSITY        ,PSE        ,Disability - Academic Adjustments        ,02/03/2022        
CA        ,STANFORD UNIVERSITY        ,PSE        ,Disability - Denial of Benefits        ,02/03/2022        
CA        ,STANFORD UNIVERSITY        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,12/07/2023        
CA        ,STANFORD UNIVERSITY        ,PSE        ,Title IX - Sexual Harassment        ,11/03/2023        
CA        ,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY        ,PSE        ,Disability - Academic Adjustments        ,03/24/2023        
CA        ,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY        ,PSE        ,Disability - Academic Adjustments        ,08/28/2024        
CA        ,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY        ,PSE        ,Disability - Retaliation        ,03/24/2023        
CA        ,TRIDENT UNIVERSITY INTERNATIONAL        ,PSE        ,Disability - Academic Adjustments        ,01/13/2023        
CA        ,TRINITY LAW AND GRADUATE SCHOOL        ,PSE        ,Disability - Academic Adjustments        ,11/01/2023        
CA        ,UNIVERSITY OF CALIFORNIA-BERKELEY        ,PSE        ,Disability - Procedural Requirements        ,03/31/2023        
CA        ,UNIVERSITY OF CALIFORNIA-BERKELEY        ,PSE        ,Disability - Procedural Requirements        ,03/06/2024        
CA        ,UNIVERSITY OF CALIFORNIA-LOS ANGELES        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,12/06/2023        
CA        ,UNIVERSITY OF CALIFORNIA-LOS ANGELES        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,05/07/2024        
CA        ,UNIVERSITY OF CALIFORNIA-LOS ANGELES        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,05/08/2024        
CA        ,UNIVERSITY OF CALIFORNIA-LOS ANGELES        ,PSE        ,Title VI - Retaliation        ,06/01/2022        
CA        ,UNIVERSITY OF CALIFORNIA-LOS ANGELES        ,PSE        ,Title IX - Athletics        ,04/17/2024        
CA        ,UNIVERSITY OF CALIFORNIA-LOS ANGELES        ,PSE        ,Title IX - Others        ,04/17/2024        
CA        ,UNIVERSITY OF CALIFORNIA-LOS ANGELES        ,PSE        ,Title IX - Sexual Violence        ,08/09/2024        
CA        ,UNIVERSITY OF CALIFORNIA-RIVERSIDE        ,PSE        ,Age - Discrimination Prohibited        ,08/07/2023        
CA        ,UNIVERSITY OF CALIFORNIA-RIVERSIDE        ,PSE        ,Disability - Denial of Benefits        ,08/07/2023        
CA        ,UNIVERSITY OF CALIFORNIA-RIVERSIDE        ,PSE        ,Title VI - Denial of Benefits        ,08/07/2023        
CA        ,UNIVERSITY OF CALIFORNIA-RIVERSIDE        ,PSE        ,Title IX - Denial of Benefits        ,08/07/2023        
CA        ,UNIVERSITY OF CALIFORNIA-SAN DIEGO        ,PSE        ,Disability - Denial of Benefits        ,06/24/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SAN DIEGO        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,12/11/2023        
CA        ,UNIVERSITY OF CALIFORNIA-SAN DIEGO        ,PSE        ,Title IX - Sexual Violence        ,06/24/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA BARBARA        ,PSE        ,Disability - Academic Adjustments        ,03/13/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA BARBARA        ,PSE        ,Title VI - Denial of Benefits        ,03/13/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA BARBARA        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,03/21/2024        
CA        ,VENTURA COUNTY COMMUNITY COLLEGE SYSTEM OFFICE        ,PSE        ,Disability - Procedural Requirements        ,08/18/2022        
CA        ,VICTOR VALLEY COLLEGE        ,PSE        ,Title VI - Denial of Benefits        ,11/28/2023        
CA        ,VICTOR VALLEY COLLEGE        ,PSE        ,Title IX - Athletics        ,09/14/2023        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA BARBARA        ,PSE        ,Title VI - Racial Harassment        ,03/13/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA BARBARA        ,PSE        ,Title IX - Procedural Requirements        ,01/10/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA BARBARA        ,PSE        ,Title IX - Sexual Harassment        ,01/10/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA BARBARA        ,PSE        ,Title IX - Sexual Violence        ,01/10/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA CRUZ        ,PSE        ,Disability - Accessibility        ,06/26/2024        
CA        ,UNIVERSITY OF CALIFORNIA-SANTA CRUZ        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,05/28/2024        
CA        ,UNIVERSITY OF SAN DIEGO        ,PSE        ,Disability - Academic Adjustments        ,08/09/2022        
CA        ,UNIVERSITY OF SAN DIEGO        ,PSE        ,Disability - Procedural Requirements        ,08/09/2022        
CA        ,UNIVERSITY OF SAN DIEGO        ,PSE        ,Title VI - Denial of Benefits        ,08/09/2022        
CA        ,UNIVERSITY OF SAN FRANCISCO        ,PSE        ,Disability - Accessibility        ,07/15/2024        
CA        ,UNIVERSITY OF SAN FRANCISCO        ,PSE        ,Title VI - Denial of Benefits        ,12/08/2022        
CA        ,UNIVERSITY OF SAN FRANCISCO        ,PSE        ,Title VI - Others        ,08/24/2022        
CA        ,UNIVERSITY OF SAN FRANCISCO        ,PSE        ,Title VI - Others        ,09/25/2023        
CA        ,UNIVERSITY OF SAN FRANCISCO        ,PSE        ,Title IX - Others        ,09/25/2023        
CA        ,UNIVERSITY OF SAN FRANCISCO        ,PSE        ,Title IX - Single Sex Scholarships        ,08/24/2022        
CA        ,UNIVERSITY OF SAN FRANCISCO        ,PSE        ,Title IX - Single Sex Scholarships        ,10/08/2024        
CA        ,UNIVERSITY OF CALIFORNIA-BERKELEY        ,PSE        ,Title VI - Denial of Benefits        ,03/06/2024        
CA        ,UNIVERSITY OF CALIFORNIA-BERKELEY        ,PSE        ,Title VI - Denial of Benefits        ,04/09/2024        
CA        ,UNIVERSITY OF CALIFORNIA-BERKELEY        ,PSE        ,Title IX - Retaliation        ,03/06/2024        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Disability - Academic Adjustments        ,01/05/2022        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Disability - Academic Adjustments        ,07/07/2022        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Disability - Academic Adjustments        ,05/17/2024        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Disability - Denial of Benefits        ,07/07/2022        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Disability - Disability Harassment        ,07/07/2022        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Disability - Others        ,01/05/2022        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,12/14/2023        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,06/11/2024        
CA        ,UNIVERSITY OF CALIFORNIA-DAVIS        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,06/21/2024        
CA        ,UNIVERSITY OF CALIFORNIA-IRVINE        ,PSE        ,Disability - Academic Adjustments        ,03/15/2023        
CA        ,UNIVERSITY OF CALIFORNIA-IRVINE        ,PSE        ,Disability - Academic Adjustments        ,05/28/2024        
CA        ,UNIVERSITY OF CALIFORNIA-IRVINE        ,PSE        ,Disability - Denial of Benefits        ,03/15/2023        
CA        ,UNIVERSITY OF CALIFORNIA-IRVINE        ,PSE        ,Title VI - Denial of Benefits        ,05/28/2024        
CA        ,UNIVERSITY OF SOUTHERN CALIFORNIA        ,PSE        ,Disability - Retaliation        ,01/30/2024        
CA        ,UNIVERSITY OF SOUTHERN CALIFORNIA        ,PSE        ,Title VI - Denial of Benefits        ,07/08/2022        
CA        ,UNIVERSITY OF SOUTHERN CALIFORNIA        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,06/15/2022        
CA        ,UNIVERSITY OF SOUTHERN CALIFORNIA        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,07/08/2022        
CA        ,UNIVERSITY OF SOUTHERN CALIFORNIA        ,PSE        ,Title VI - National Origin Discrimination Involving Religion        ,06/11/2024        
CA        ,UNIVERSITY OF SOUTHERN CALIFORNIA        ,PSE        ,Title IX - Denial of Benefits        ,08/15/2024        
